Original_Review,Cleaned_Review,Polarity,Subjectivity,VADER_Compound,Sentiment,Confidence_Score
Kwatra Legal LLP made my Trademark registration hassle-free.,kwatra legal llp made my trademark registration hasslefree,0.2,0.2,0.128,Positive,0.16
I faced delays in getting updates on my filing process.,i faced delays in getting updates on my filing process,0.0,0.0,0.0,Neutral,0.0
Their IPR advice was extremely helpful in my opposition case.,their ipr advice was extremely helpful in my opposition case,-0.125,1.0,0.4754,Negative,0.3
The service quality was below my expectations.,the service quality was below my expectations,0.0,0.0,0.0,Neutral,0.0
Professional team with strong legal knowledge.,professional team with strong legal knowledge,0.24444444444444446,0.3444444444444444,0.5859,Positive,0.42
Communication was inconsistent during the registration process.,communication was inconsistent during the registration process,0.0,0.0,0.0,Neutral,0.0
Very satisfied with their support for Trademark and GST filings.,very satisfied with their support for trademark and gst filings,0.65,1.0,0.6997,Positive,0.67
The legal strategy did not work in my favor.,the legal strategy did not work in my favor,0.2,0.2,0.4939,Positive,0.35
They handled my brand objection smoothly and professionally.,they handled my brand objection smoothly and professionally,0.25,0.3,0.0,Positive,0.12
Not happy with how slow the process was.,not happy with how slow the process was,-0.35000000000000003,0.7,-0.4585,Negative,0.4
FSSAI registration was quick and properly documented.,fssai registration was quick and properly documented,0.16666666666666666,0.3,0.0,Positive,0.08
It took too long for them to respond to my queries.,it took too long for them to respond to my queries,-0.05,0.4,0.0,Neutral,0.03
Highly recommend their IPR team for quick resolutions.,highly recommend their ipr team for quick resolutions,0.24666666666666665,0.52,0.4201,Positive,0.33
The trademark attorney lacked attention to detail.,the trademark attorney lacked attention to detail,0.0,0.0,0.0,Neutral,0.0
Their support team ensured a transparent legal process.,their support team ensured a transparent legal process,0.2,0.2,0.4939,Positive,0.35
I had to repeatedly ask for status updates.,i had to repeatedly ask for status updates,0.0,0.0,0.0,Neutral,0.0
They provided clear instructions for Trademark filing.,they provided clear instructions for trademark filing,0.10000000000000002,0.3833333333333333,0.3818,Positive,0.24
Unhappy with the vague responses I received.,unhappy with the vague responses i received,-0.55,0.7,-0.4939,Negative,0.52
End-to-end handling was done with precision.,endtoend handling was done with precision,0.0,0.0,0.0,Neutral,0.0
Process transparency and professionalism stood out.,process transparency and professionalism stood out,0.0,0.0,0.0,Neutral,0.0
